Year, Global_plastic_Production_tonnes
1950,2000000
1951,2000000
1952,2000000
1953,3000000
1954,3000000
1955,4000000
1956,5000000
1957,5000000
1958,6000000
1959,7000000
1960,8000000
1961,9000000
1962,11000000
1963,13000000
1964,15000000
1965,17000000
1966,20000000
1967,23000000
1968,27000000
1969,32000000
1970,35000000
1971,38000000
1972,44000000
1973,51000000
1974,52000000
1975,46000000
1976,54000000
1977,59000000
1978,64000000
1979,71000000
1980,70000000
1981,72000000
1982,73000000
1983,80000000
1984,86000000
1985,90000000
1986,96000000
1987,104000000
1988,110000000
1989,114000000
1990,120000000
1991,124000000
1992,132000000
1993,137000000
1994,151000000
1995,156000000
1996,168000000
1997,180000000
1998,188000000
1999,202000000
2000,213000000
2001,218000000
2002,231000000
2003,241000000
2004,256000000
2005,263000000
2006,280000000
2007,295000000
2008,281000000
2009,288000000
2010,313000000
2011,325000000
2012,338000000
2013,352000000
2014,367000000
2015,381000000
