Year, Global_plastic_Production_tonnes,Discarded_percent,Incinerated_percent,Recycled_percent,Discarded_tonnes,Incinerated_tonnes,Recycled_tonnes
1950,2000000,100,0,0,2000000,0,0
1951,2000000,100,0,0,2000000,0,0
1952,2000000,100,0,0,2000000,0,0
1953,3000000,100,0,0,3000000,0,0
1954,3000000,100,0,0,3000000,0,0
1955,4000000,100,0,0,4000000,0,0
1956,5000000,100,0,0,5000000,0,0
1957,5000000,100,0,0,5000000,0,0
1958,6000000,100,0,0,6000000,0,0
1959,7000000,100,0,0,7000000,0,0
1960,8000000,100,0,0,8000000,0,0
1961,9000000,100,0,0,9000000,0,0
1962,11000000,100,0,0,11000000,0,0
1963,13000000,100,0,0,13000000,0,0
1964,15000000,100,0,0,15000000,0,0
1965,17000000,100,0,0,17000000,0,0
1966,20000000,100,0,0,20000000,0,0
1967,23000000,100,0,0,23000000,0,0
1968,27000000,100,0,0,27000000,0,0
1969,32000000,100,0,0,32000000,0,0
1970,35000000,100,0,0,35000000,0,0
1971,38000000,100,0,0,38000000,0,0
1972,44000000,100,0,0,44000000,0,0
1973,51000000,100,0,0,51000000,0,0
1974,52000000,100,0,0,52000000,0,0
1975,46000000,100,0,0,46000000,0,0
1976,54000000,100,0,0,54000000,0,0
1977,59000000,100,0,0,59000000,0,0
1978,64000000,100,0,0,64000000,0,0
1979,71000000,100,0,0,71000000,0,0
1980,70000000,100,0,0,70000000,0,0
1981,72000000,98.3,1.7,0,70776000,1224000,0
1982,73000000,97.6,2.4,0,71248000,1752000,0
1983,80000000,96.9,3.1,0,77520000,2480000,0
1984,86000000,96.2,3.8,0,82732000,3268000,0
1985,90000000,95.5,4.5,0,85950000,4050000,0
1986,96000000,94.8,5.2,0,91008000,4992000,0
1987,104000000,94.1,5.9,0,97864000,6136000,0
1988,110000000,92.8,6.6,0.6,102080000,7260000,660000
1989,114000000,91.4,7.3,1.3,104196000,8322000,1482000
1990,120000000,90,8,1.6,108000000,9600000,1920000
1991,124000000,88.6,8.7,2.7,109864000,10788000,3348000
1992,132000000,87.2,9.4,3.4,115104000,12408000,4488000
1993,137000000,85.8,10.1,4.1,117546000,13837000,5617000
1994,151000000,84.4,10.8,4.8,127444000,16308000,7248000
1995,156000000,83,11.5,5.5,129480000,17940000,8580000
1996,168000000,81.6,12.2,6.2,137088000,20496000,10416000
1997,180000000,80.2,12.9,6.9,144360000,23220000,12420000
1998,188000000,78.8,13.6,7.6,148144000,25568000,14288000
1999,202000000,77.4,14.3,8.3,156348000,28886000,16766000
2000,213000000,76,15,9,161880000,31950000,19170000
2001,218000000,74.6,15.7,9.7,162628000,34226000,21146000
2002,231000000,73.2,16.4,10.4,169092000,37884000,24024000
2003,241000000,71.8,17.1,11.1,173038000,41211000,26751000
2004,256000000,70.4,17.8,11.8,180224000,45568000,30208000
2005,263000000,69,18.5,12.5,181470000,48655000,32875000
2006,280000000,67.6,19.2,13.2,189280000,53760000,36960000
2007,295000000,66.2,19.9,13.9,195290000,58705000,41005000
2008,281000000,64.8,20.6,14.6,182088000,57886000,41026000
2009,288000000,63.4,21.3,15.3,182592000,61344000,44064000
2010,313000000,62,22,16,194060000,68860000,50080000
2011,325000000,60.6,22.7,16.7,196950000,73775000,54275000
2012,338000000,59.2,23.4,17.4,200096000,79092000,58812000
2013,352000000,57.8,24.1,18.1,203456000,84832000,63712000
2014,367000000,56.4,24.8,18.8,206988000,91016000,68996000
2015,381000000,55,25.5,19.5,209550000,97155000,74295000
